oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
641216100035134,zr,59526.11635,13.353823,0.0125991125,0.090632014,21.151,0.081
641116100063310,zg,59526.17982,14.5408745,0.013170079,-0.056273274,21.915,0.177
641216100035134,zr,59527.12065,14.076057,0.012717181,0.0892865,21.151,0.081
641116100063310,zg,59527.15378,15.275202,0.014083179,-0.068662494,21.915,0.177
641116100063310,zg,59529.11262,16.46701,0.016942304,-0.06227072,21.915,0.177
641216100035134,zr,59529.16391,14.858041,0.013101837,0.08632989,21.151,0.081
641216100035134,zr,59530.22207,14.635132,0.012953054,0.09401752,21.151,0.081
641216100035134,zr,59531.11939,14.264431,0.012778466,0.08769292,21.151,0.081
641116100063310,zg,59531.18227,15.560914,0.014564856,-0.057135284,21.915,0.177
641216100035134,zr,59532.11329,14.290248,0.012788153,0.081342585,21.151,0.081
641116100063310,zg,59532.18505,15.608305,0.0146540785,-0.070789,21.915,0.177
641116100063310,zg,59540.11926,17.409222,0.022108303,-0.054501284,21.915,0.177
641216100035134,zr,59540.13597,15.798506,0.014320291,0.09713562,21.151,0.081
641116100063310,zg,59542.11511,17.913479,0.027097639,-0.06633003,21.915,0.177
641216100035134,zr,59542.15255,16.204155,0.015322958,0.088606745,21.151,0.081
641216100035134,zr,59625.55279,14.058329,0.012712208,0.09579057,21.151,0.081
641216100035134,zr,59625.55527,14.051294,0.012710269,0.10397081,21.151,0.081
641216100035134,zr,59625.55773,14.066762,0.012714556,0.09871358,21.151,0.081
641216100035134,zr,59625.56021,14.080966,0.012718581,0.1064007,21.151,0.081
641216100035134,zr,59625.56267,14.083195,0.01271922,0.100821756,21.151,0.081
641216100035134,zr,59629.54946,14.052001,0.012710463,0.08814147,21.151,0.081
641216100035134,zr,59629.55192,14.034223,0.012705647,0.093560606,21.151,0.081
641216100035134,zr,59629.5544,14.018466,0.012701485,0.090056956,21.151,0.081
641216100035134,zr,59629.55688,14.045297,0.012708632,0.09047689,21.151,0.081
641216100035134,zr,59629.55935,14.046713,0.012709017,0.09566327,21.151,0.081
641216100035134,zr,59630.54746,14.02746,0.01270385,0.08875401,21.151,0.081
641216100035134,zr,59630.54994,14.00951,0.012699163,0.0874244,21.151,0.081
641216100035134,zr,59630.55241,14.033069,0.01270534,0.088579446,21.151,0.081
641216100035134,zr,59630.55488,14.045913,0.0127088,0.08485134,21.151,0.081
641216100035134,zr,59630.55737,14.033488,0.012705452,0.08915179,21.151,0.081
641216100035134,zr,59640.528,13.957546,0.012686294,0.08267659,21.151,0.081
641216100035134,zr,59640.53052,13.977099,0.012691016,0.083220296,21.151,0.081
641216100035134,zr,59640.53303,13.974993,0.012690501,0.08494385,21.151,0.081
641216100035134,zr,59640.53555,13.95675,0.0126861045,0.08719833,21.151,0.081
641216100035134,zr,59641.5291,13.970731,0.012689463,0.07814824,21.151,0.081
641216100035134,zr,59641.53162,13.964563,0.012687972,0.08740361,21.151,0.081
641216100035134,zr,59641.53415,13.96137,0.012687205,0.085808,21.151,0.081
641216100035134,zr,59641.53668,13.980808,0.012691928,0.08639749,21.151,0.081
641216100035134,zr,59641.53922,13.980721,0.012691907,0.082944065,21.151,0.081
641216100035134,zr,59670.46963,13.976467,0.012690862,0.090364456,21.151,0.081
641116100063310,zg,59673.47175,14.991643,0.01368443,-0.041726854,21.915,0.177
641216100035134,zr,59673.4951,13.988599,0.0126938615,0.09339542,21.151,0.081
641116100063310,zg,59676.46712,14.993988,0.013687457,-0.053786505,21.915,0.177
641216100035134,zr,59676.48876,14.031104,0.012704817,0.09815044,21.151,0.081
641216100035134,zr,59678.47615,14.061048,0.012712962,0.09279377,21.151,0.081
641116100063310,zg,59678.48955,14.994865,0.0136885885,-0.050943334,21.915,0.177
